"","count","lat","lon"
"2",1,-42.8821377,147.3271949
"3",1,-41.2923682,174.7724295
"4",1,-38.416097,-63.616672
"5",1,-37.813611,144.963056
"6",1,-35.675147,-71.542969
"7",1,-34.6044174,-58.3902078
"8",2,-34.6036844,-58.3815591
"9",1,-34.5810346,-58.4743258
"10",1,-33.9248685,18.4240553
"11",1,-33.8701158,151.2089158
"12",1,-33.4488897,-70.6692655
"13",1,-31.954,115.876
"14",1,-31.9505269,115.8604572
"15",1,-30.559482,22.937506
"16",1,-30.0346471,-51.2176584
"17",1,-28.6104322,153.1932534
"18",1,-26.65,153.066667
"19",1,-25.7478676,28.2292712
"20",2,-25.274398,133.775136
"21",2,-23.5410372,-46.6451976
"22",1,-22.9068467,-43.1728965
"23",1,-22.8387571,-43.3241817
"24",1,-22.8272883,-43.0637646
"25",1,-22.328474,24.684866
"26",1,-14.235004,-51.92528
"27",2,-12.2720956,-76.2710833
"28",1,-10.1771997,123.6070329
"29",1,-9.6498487,-35.7089492
"30",2,-9.189967,-75.015152
"31",1,-7.5360639,112.2384017
"32",1,-7.460987,111.3321974
"33",1,-6.7765974,-79.8442978
"34",1,-6.4024844,106.7942405
"35",1,-5.2574467,-36.7170585
"36",1,-1.831239,-78.183406
"37",1,-1.2920659,36.8219462
"38",1,-0.789275,113.921327
"39",2,-0.023559,37.906193
"40",1,1.352083,103.819836
"41",1,3.5379718,-76.2971657
"42",1,3.5951956,98.6722227
"43",1,3.7633859,103.2201828
"44",2,4.210484,101.975766
"45",1,4.570868,-74.297333
"46",1,5.980408,116.0734568
"47",1,6.9214424,122.0790267
"48",1,8.5873638,81.2152121
"49",1,8.5913073,-63.9586111
"50",2,8.9823792,-79.5198696
"51",1,9.9280694,-84.0907246
"52",1,10.2313205,-67.2847875
"53",1,10.431916,-64.183316
"54",1,10.5057527,-66.9347651
"55",1,12.52111,-69.968338
"56",1,12.879721,121.774017
"57",1,12.9276082,100.8770813
"58",1,12.9336846,77.6271223
"59",3,12.9715987,77.5945627
"60",1,12.9720556,80.2203694
"61",1,13.1992334,80.196693
"62",3,13.7563309,100.5017651
"63",1,13.7739146,100.5188202
"64",1,13.8055921,100.5751994
"65",1,14.058324,108.277199
"66",1,14.5401107,-74.9676365
"67",1,14.6070701,121.0172945
"68",1,14.6760413,121.0437003
"69",3,15.783471,-90.230759
"70",1,15.8496953,74.4976741
"71",2,15.870032,100.992541
"72",1,17.385044,78.486671
"73",1,17.758076,83.334056
"74",1,17.8409173,-92.6189273
"75",3,18.220833,-66.590149
"76",1,18.3691963,-66.1659674
"77",2,18.5204303,73.8567437
"78",1,18.7249031,-95.9847859
"79",1,19.0412967,-98.2061996
"80",1,19.0446282,-98.201064
"81",3,19.0759837,72.8776559
"82",1,19.3923941,-99.2129898
"83",4,19.4326077,-99.133208
"84",1,19.8967662,-155.5827818
"85",1,20.1010608,-98.7591311
"86",7,20.593684,78.96288
"87",1,20.6596988,-103.3496092
"88",1,21.7051358,72.9958748
"89",1,22.258652,71.1923805
"90",1,22.3038945,70.8021599
"91",1,22.4486944,39.1335549
"92",1,22.744446,-98.9759252
"93",1,23.132191,113.266531
"94",1,23.424076,53.847818
"95",8,23.634501,-102.552784
"96",2,23.684994,90.356331
"97",1,23.810332,90.4125181
"98",1,23.885942,45.079162
"99",1,24.3963061,68.93384
"100",1,25.216667,55.166667
"101",1,25.6775595,-100.2596935
"102",1,25.6866142,-100.3161126
"103",1,25.7493469,-100.2868973
